nb;dept;COMMUNE;Commune;CP;Code_insee;longitude;latitude
15510;40;SAINT-JULIEN-D'ARMAGNAC;Saint-Julien-d'Armagnac;40240;40265;-0.116667;43.9667
15511;40;MONTGAILLARD;Montgaillard;40500;40195;-0.483333;43.75
15512;40;ARSAGUE;Arsague;40330;40011;-0.796111;43.5803
15513;40;OSSAGES;Ossages;40290;40214;-0.883333;43.55
15514;40;LE FRECHE;Le Frêche;40190;40100;-0.233333;43.9333
15515;40;BORDERES-ET-LAMENSANS;Bordères-et-Lamensans;40270;40049;-0.366667;43.7667
15516;40;DAX;Dax;40100;40088;-1.05;43.7167
15517;40;VIEUX-BOUCAU-LES-BAINS;Vieux-Boucau-les-Bains;40480;40328;-1.4;43.7833
15518;40;VILLENAVE;Villenave;40110;40330;-0.8;43.9667
15519;40;ARJUZANX;Arjuzanx;40110;40009;-0.85;44.0167
15520;40;ARTHEZ-D'ARMAGNAC;Arthez-d'Armagnac;40190;40013;-0.25;43.9
15521;40;CASTELNAU-TURSAN;Castelnau-Tursan;40320;40072;-0.4;43.65
15522;40;HAUT-MAUCO;Haut-Mauco;40280;40122;-0.55;43.8333
15523;40;CAPBRETON;Capbreton;40130;40065;-1.43333;43.6333
15524;40;PUYOL-CAZALET;Puyol-Cazalet;40320;40239;-0.4;43.6
15525;40;SAINTE-EULALIE-EN-BORN;Sainte-Eulalie-en-Born;40200;40257;-1.18333;44.2667
15526;40;NARROSSE;Narrosse;40180;40202;-1;43.7
15527;40;LEVIGNACQ;Lévignacq;40170;40154;-1.16667;44
15528;40;URGONS;Urgons;40320;40321;-0.45;43.65
15529;40;LABRIT;Labrit;40420;40135;-0.55;44.1
15530;40;SAINT-PIERRE-DU-MONT;Saint-Pierre-du-Mont;40280;40281;-0.516667;43.8833
15531;40;BOOS;Boos;40370;40048;-0.983333;43.9
15532;40;LAUREDE;Laurède;40250;40147;-0.783333;43.75
15533;40;SAINT-CRICQ-DU-GAVE;Saint-Cricq-du-Gave;40300;40254;-1.01667;43.5333
15534;40;LUSSAGNET;Lussagnet;40270;40166;-0.233333;43.7667
15535;40;BOURRIOT-BERGONCE;Bourriot-Bergonce;40120;40053;-0.25;44.1167
15536;40;PONTENX-LES-FORGES;Pontenx-les-Forges;40200;40229;-1.11667;44.25
15537;40;SAINT-CRICQ-CHALOSSE;Saint-Cricq-Chalosse;40700;40253;-0.683333;43.65
15538;40;SOORTS-HOSSEGOR;Soorts-Hossegor;40150;40304;-1.4;43.6667
15539;40;VIELLE-TURSAN;Vielle-Tursan;40320;40325;-0.45;43.6833
15540;40;SAINT-JEAN-DE-LIER;Saint-Jean-de-Lier;40380;40263;-0.883333;43.7833
15541;40;SAINT-JULIEN-EN-BORN;Saint-Julien-en-Born;40170;40266;-1.23333;44.0667
15542;40;BENESSE-MAREMNE;Bénesse-Maremne;40230;40036;-1.35;43.6333
15543;40;LUE;Lüe;40210;40163;-0.983333;44.2333
15544;40;ORIST;Orist;40300;40211;-1.16667;43.6333
15545;40;AMOU;Amou;40330;40002;-0.75;43.6
15546;40;MIRAMONT-SENSACQ;Miramont-Sensacq;40320;40185;-0.316667;43.6
15547;40;OEYREGAVE;Oeyregave;40300;40206;-1.1;43.5333
15548;40;ARGELOUSE;Argelouse;40430;40008;-0.64616;44.366
15549;40;RIMBEZ-ET-BAUDIETS;Rimbez-et-Baudiets;40310;40242;0.05;44.05
15550;40;BELIS;Bélis;40120;40033;-0.45;44.0667
15551;40;CASTAIGNOS-SOUSLENS;Castaignos-Souslens;40700;40069;-0.65;43.5833
15552;40;LENCOUACQ;Lencouacq;40120;40149;-0.4;44.1
15553;40;RENUNG;Renung;40270;40240;-0.35;43.75
15554;40;BANOS;Banos;40500;40024;-0.616667;43.7333
